220X67,220X71,220X75,220X79,220X83,220X87,220X91,220X95,220X151,310X56,310X60,310X64,310X68,310X72,310X76,310X80,310X84
2017061410545123,2017061410531232.0,2017061410543787,2017061410534012,2017061410544070,2017061410530812,2017061410543543,2017061410533659,,2017061700113870,2017061700091173,2017061700112578,2017061700092835,2017061700112853,2017061700090753,2017061700112350,2017061700092487
2017061410503301,2017061410465801.0,2017061410501978,2017061410472731,2017061410502262,2017061410465381,2017061410501753,2017061410472379,,2017061700025982,2017061700002637,2017061700024685,2017061700004307,2017061700024960,2017061700002217,2017061700024459,2017061700003954
2017061410461676,2017061410444628.0,2017061410460359,2017061410451420,2017061410460643,2017061410444210,2017061410460134,2017061410451068,,2017061623583967,2017061623564720,2017061623582665,2017061623572279,2017061623582942,2017061623564296,2017061623582437,2017061623571929
2017061410414925,2017061410401007.0,2017061410413603,2017061410403817,2017061410413887,2017061410400576,2017061410413378,2017061410403460,,2017061623533168,2017061623514165,2017061623531873,2017061623521176,2017061623532143,2017061623513743,2017061623531642,2017061623520828
2017061608304181,2017061608280123.0,2017061608302859,2017061608293879,2017061608303143,2017061608275703,2017061608302634,2017061608293529,,2017061721595998,2017061721580548,2017061721594698,2017061721584826,2017061721594968,2017061721580126,2017061721594470,2017061721584476
2017061608314425,2017061608301362.0,2017061608313120,2017061608304148,2017061608313404,2017061608300942,2017061608312892,2017061608303796,,2017061722011132,2017061721592395,2017061722005834,2017061721595973,2017061722010109,2017061721591975,2017061722005603,2017061721595623
2017062212425193,2017062212411514.0,2017062212423857,2017062212414871,2017062212424157,2017062212411093,2017062212423631,2017062212414523,,2017062411512100,2017062411493506,2017062411510801,2017062411500156,2017062411511079,2017062411493084,2017062411510573,2017062411495806
2017062212425193,2017062212411514.0,2017062212423857,2017062212414871,2017062212424157,2017062212411093,2017062212423631,2017062212414523,,2017062411512100,2017062411493506,2017062411510801,2017062411500156,2017062411511079,2017062411493084,2017062411510573,2017062411495806
2017062212414909,2017062212395442.0,2017062212413575,2017062212404592,2017062212413870,2017062212395020,2017062212413350,2017062212404240,,2017062411500176,2017062411482348,2017062411494878,2017062411485015,2017062411495151,2017062411481926,2017062411494648,2017062411484665
2017062212414909,2017062212395442.0,2017062212413575,2017062212404592,2017062212413870,2017062212395020,2017062212413350,2017062212404240,,2017062411500176,2017062411482348,2017062411494878,2017062411485015,2017062411495151,2017062411481926,2017062411494648,2017062411484665
2017062212404628,2017062212385123.0,2017062212403300,2017062212392567,2017062212403584,2017062212384698,2017062212403065,2017062212392218,,2017062411485034,2017062411471698,2017062411483739,2017062411473840,2017062411484007,2017062411471275,2017062411483496,2017062411473490
2017062212404628,2017062212385123.0,2017062212403300,2017062212392567,2017062212403584,2017062212384698,2017062212403065,2017062212392218,,2017062411485034,2017062411471698,2017062411483739,2017062411473840,2017062411484007,2017062411471275,2017062411483496,2017062411473490
2017062212372032,2017062212353531.0,2017062212370685,2017062212360864,2017062212370989,2017062212353107,2017062212370462,2017062212360514,,2017062411445895,2017062411423618,2017062411444593,2017062411425857,2017062411444862,2017062411423196,2017062411444365,2017062411425507
2017062212372032,2017062212353531.0,2017062212370685,2017062212360864,2017062212370989,2017062212353107,2017062212370462,2017062212360514,,2017062411445895,2017062411423618,2017062411444593,2017062411425857,2017062411444862,2017062411423196,2017062411444365,2017062411425507
